procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 96918352 100580 28560568    0    0     0     0 2339 1632  9  1 90  0  0
 8  0      0 96845544 100580 28636460    0    0     0     0 1960 1566  8  1 91  0  0
 4  0      0 96920160 100580 28560616    0    0     0     0 2071 1453  8  1 91  0  0
 4  0      0 96919392 100580 28562448    0    0     0    28 2186 1654  9  1 90  0  0
 8  0      0 96917488 100580 28561196    0    0     0     0 2099 1488  8  1 91  0  0
 4  0      0 96920800 100580 28561472    0    0     0     0 2108 1655  8  1 90  0  0
 6  0      0 96905976 100580 28575788    0    0     0     0 2194 1607  8  1 90  0  0
 4  0      0 96918792 100580 28560948    0    0     0     0 2018 1378  8  1 91  0  0
 4  0      0 96918184 100580 28560940    0    0     0    16 2497 1815  9  1 90  0  0
 8  0      0 96873760 100580 28600464    0    0     0     0 2059 1618  8  1 91  0  0
 4  0      0 96915096 100580 28560612    0    0     0     0 2041 1460  8  1 91  0  0
 4  0      0 96915296 100580 28560560    0    0     0     0 2029 1553  8  1 91  0  0
 8  0      0 96918976 100580 28561900    0    0     0     0 2036 1458  8  1 91  0  0
 4  0      0 96916192 100584 28560800    0    0     0   332 2058 1715  8  1 91  0  0
 4  0      0 96919552 100584 28561176    0    0     0     0 2026 1540  8  1 91  0  0
 8  0      0 96916840 100584 28560864    0    0     0     0 1714 1348  8  1 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 96920112 100584 28561620    0    0     0     4 2143 1745  8  1 91  0  0
 6  0      0 96909616 100584 28573976    0    0     0     0 2139 1589  8  1 91  0  0
 4  0      0 96922224 100584 28560964    0    0     0    44 2045 1426  8  1 91  0  0
 4  0      0 96919632 100584 28561672    0    0     0     0 2138 1712  8  1 90  0  0
 8  0      0 96921080 100584 28561436    0    0     0     0 2175 1423  8  1 91  0  0
 4  0      0 96917848 100584 28562588    0    0     0     0 2025 1637  8  1 91  0  0
 4  0      0 96919136 100584 28562564    0    0     0     0 2221 1612  8  1 90  0  0
 8  0      0 96922368 100588 28561272    0    0     0    16 1981 1386  8  1 91  0  0
 4  0      0 96925520 100588 28561732    0    0     0     0 2210 1754  8  1 91  0  0
 8  0      0 96883192 100588 28597644    0    0     0     0 1904 1522  8  1 91  0  0
 4  0      0 96926128 100596 28561308    0    0     0    96 2155 1409  8  1 91  0  0
 4  0      0 96923768 100596 28560476    0    0     0     0 2124 1730  8  1 90  0  0
 8  0      0 96925888 100596 28561124    0    0     0     0 2122 1453  8  1 91  0  0
 4  0      0 96929336 100596 28560196    0    0     0     0 2002 1501  8  1 91  0  0
 4  0      0 96929568 100596 28561856    0    0     0     0 2073 1731  8  1 91  0  0
 8  0      0 96932000 100596 28560128    0    0     0    16 1814 1354  8  1 91  0  0
 8  0      0 96881936 100596 28603492    0    0     0    16 2355 1602  8  1 91  0  0
 8  0      0 96845648 100596 28634124    0    0     0     0 2095 1847  8  1 91  0  0
 4  0      0 96926704 100596 28561188    0    0     0     0 2024 1310  8  1 91  0  0
 4  0      0 96922320 100600 28560604    0    0     0    44 2236 1755  8  1 91  0  0
 8  0      0 96920128 100600 28561496    0    0     0     0 2036 1447  8  1 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 96921264 100600 28561016    0    0     0     0 2040 1504  8  1 91  0  0
 5  0      0 96912400 100600 28571104    0    0     0     0 2070 1752  9  1 90  0  0
 8  0      0 96918464 100600 28560760    0    0     0     0 1909 1380  8  1 91  0  0
 4  0      0 96917728 100600 28561348    0    0     0     0 2151 1664  8  1 90  0  0
 8  0      0 96863920 100604 28618460    0    0     0    28 2066 1666  8  1 90  0  0
 4  0      0 96918256 100604 28561348    0    0     0     0 2122 1375  8  1 91  0  0
 8  0      0 96918880 100604 28560820    0    0     0     0 1981 1478  8  1 91  0  0
 8  0      0 96921152 100604 28560528    0    0     0     0 2249 1715  8  1 90  0  0
 4  0      0 96920752 100604 28560880    0    0     0     0 2069 1497  8  1 91  0  0
 4  0      0 96917104 100604 28562264    0    0     0    32 2219 1731  8  1 90  0  0
 8  0      0 96916872 100604 28560668    0    0     0     0 2025 1357  8  1 91  0  0
 4  0      0 96916400 100604 28561064    0    0     0   196 2215 1707  8  1 91  0  0
 8  0      0 96862184 100604 28618636    0    0     0     0 1965 1662  8  1 91  0  0
 4  0      0 96919160 100604 28561024    0    0     0     0 2114 1371  8  1 91  0  0
 4  0      0 96917600 100604 28562000    0    0     0    24 2180 1626  9  1 90  0  0
 8  0      0 96919424 100608 28561044    0    0     0     8 2202 1623  8  1 91  0  0
 4  0      0 96916864 100608 28561568    0    0     0     0 2204 1553  8  1 90  0  0
